"job_id","job_title","job_location","job_schedule_type","job_posted_date","salary_year_avg","company_name"
226942,"Data Analyst","Anywhere","Full-time","2023-02-20 15:13:33","650000.0","Mantys"
547382,"Director of Analytics","Anywhere","Full-time","2023-08-23 12:04:42","336500.0","Meta"
552322,"Associate Director- Data Insights","Anywhere","Full-time","2023-06-18 16:03:12","255829.5","AT&T"
99305,"Data Analyst, Marketing","Anywhere","Full-time","2023-12-05 20:00:40","232423.0","Pinterest Job Advertisements"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","2023-01-17 00:17:23","217000.0","Uclahealthcareers"
168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","2023-08-09 11:00:01","205000.0","SmartAsset"
731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","2023-12-07 15:00:13","189309.0","Inclusively"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","2023-01-05 00:00:25","189000.0","Motional"
1749593,"Principal Data Analyst","Anywhere","Full-time","2023-07-11 16:00:05","186000.0","SmartAsset"
387860,"ERM Data Analyst","Anywhere","Full-time","2023-06-09 08:01:04","184000.0","Get It Recruit - Information Technology"
